Qafár af (Afar)	aa
Аҧсшәа (Abkhazian)	ab
Acèh (Achinese)	ace
Afrikaans (Afrikaans)	af
Akan (Akan)	ak
Alemannisch (Alemannisch)	als
አማርኛ (Amharic)	am
aragonés (Aragonese)	an
Ænglisc (Old English)	ang
العربية (Arabic)	ar
ܐܪܡܝܐ (Aramaic)	arc
مصرى (Egyptian Spoken Arabic)	arz
অসমীয়া (Assamese)	as
asturianu (Asturian)	ast
авар (Avaric)	av
Aymar aru (Aymara)	ay
azərbaycanca (Azerbaijani)	az
башҡортса (Bashkir)	ba
Boarisch (Bavarian)	bar
žemaitėška (Samogitian)	bat-smg
Bikol Central (Bikol Central)	bcl
беларуская (Belarusian)	be
беларуская (тарашкевіца)‎ (беларуская (тарашкевіца)‎)	be-x-old
български (Bulgarian)	bg
भोजपुरी (भोजपुरी)	bh
Bislama (Bislama)	bi
Bahasa Banjar (Banjar)	bjn
bamanankan (Bambara)	bm
বাংলা (Bengali)	bn
བོད་ཡིག (Tibetan)	bo
বিষ্ণুপ্রিয়া মণিপুরী (Bishnupuriya Manipuri)	bpy
brezhoneg (Breton)	br
bosanski (Bosnian)	bs
ᨅᨔ ᨕᨘᨁᨗ (Buginese)	bug
буряад (буряад)	bxr
català (Catalan)	ca
Chavacano de Zamboanga (Chavacano de Zamboanga)	cbk-zam
Mìng-dĕ̤ng-ngṳ̄ (Min Dong Chinese)	cdo
нохчийн (Chechen)	ce
Cebuano (Cebuano)	ceb
Chamoru (Chamorro)	ch
Choctaw (Choctaw)	cho
ᏣᎳᎩ (Cherokee)	chr
Tsetsêhestâhese (Cheyenne)	chy
کوردی (Sorani Kurdish)	ckb
corsu (Corsican)	co
Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ (Cree)	cr
qırımtatarca (Crimean Turkish)	crh
čeština (Czech)	cs
kaszëbsczi (Kashubian)	csb
словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ (Church Slavic)	cu
Чӑвашла (Chuvash)	cv
Cymraeg (Welsh)	cy
dansk (Danish)	da
Deutsch (German)	de
Zazaki (Zazaki)	diq
dolnoserbski (Lower Sorbian)	dsb
ދިވެހިބަސް (Divehi)	dv
ཇོང་ཁ (Dzongkha)	dz
eʋegbe (Ewe)	ee
Ελληνικά (Greek)	el
emiliàn e rumagnòl (Emiliano-Romagnolo)	eml
English (English)	en
Esperanto (Esperanto)	eo
español (Spanish)	es
eesti (Estonian)	et
euskara (Basque)	eu
estremeñu (Extremaduran)	ext
فارسی (Persian)	fa
Fulfulde (Fulah)	ff
suomi (Finnish)	fi
Võro (Võro)	fiu-vro
Na Vosa Vakaviti (Fijian)	fj
føroyskt (Faroese)	fo
français (French)	fr
arpetan (Franco-Provençal)	frp
Nordfriisk (Northern Frisian)	frr
furlan (Friulian)	fur
Frysk (Western Frisian)	fy
Gaeilge (Irish)	ga
Gagauz (Gagauz)	gag
贛語 (Gan)	gan
Gàidhlig (Scottish Gaelic)	gd
galego (Galician)	gl
گیلکی (Gilaki)	glk
Avañe'ẽ (Guarani)	gn
𐌲𐌿𐍄𐌹𐍃𐌺 (Gothic)	got
ગુજરાતી (Gujarati)	gu
Gaelg (Manx)	gv
Hausa (Hausa)	ha
客家語/Hak-kâ-ngî (Hakka)	hak
Hawai`i (Hawaiian)	haw
עברית (Hebrew)	he
हिन्दी (Hindi)	hi
Fiji Hindi (Fiji Hindi)	hif
Hiri Motu (Hiri Motu)	ho
hrvatski (Croatian)	hr
hornjoserbsce (Upper Sorbian)	hsb
Kreyòl ayisyen (Haitian)	ht
magyar (Hungarian)	hu
Հայերեն (Armenian)	hy
Otsiherero (Herero)	hz
interlingua (Interlingua)	ia
Bahasa Indonesia (Indonesian)	id
Interlingue (Interlingue)	ie
Igbo (Igbo)	ig
ꆇꉙ (Sichuan Yi)	ii
Iñupiak (Inupiaq)	ik
Ilokano (Iloko)	ilo
Ido (Ido)	io
íslenska (Icelandic)	is
italiano (Italian)	it
ᐃᓄᒃᑎᑐᑦ/inuktitut (Inuktitut)	iu
日本語 (Japanese)	ja
Lojban (Lojban)	jbo
Basa Jawa (Javanese)	jv
ქართული (Georgian)	ka
Qaraqalpaqsha (Kara-Kalpak)	kaa
Taqbaylit (Kabyle)	kab
Адыгэбзэ (Kabardian)	kbd
Kongo (Kongo)	kg
Gĩkũyũ (Kikuyu)	ki
Kwanyama (Kuanyama)	kj
қазақша (Kazakh)	kk
kalaallisut (Kalaallisut)	kl
ភាសាខ្មែរ (Khmer)	km
ಕನ್ನಡ (Kannada)	kn
한국어 (Korean)	ko
Перем Коми (Komi-Permyak)	koi
Kanuri (Kanuri)	kr
къарачай-малкъар (Karachay-Balkar)	krc
कॉशुर / کٲشُر (Kashmiri)	ks
Ripoarisch (Colognian)	ksh
Kurdî (Kurdish)	ku
коми (Komi)	kv
kernowek (Cornish)	kw
Кыргызча (Kyrgyz)	ky
Latina (Latin)	la
Ladino (Ladino)	lad
Lëtzebuergesch (Luxembourgish)	lb
лакку (лакку)	lbe
лезги (Lezghian)	lez
Luganda (Ganda)	lg
Limburgs (Limburgish)	li
Ligure (Ligurian)	lij
lumbaart (Lombard)	lmo
lingála (Lingala)	ln
ລາວ (Lao)	lo
lietuvių (Lithuanian)	lt
latgaļu (Latgalian)	ltg
latviešu (Latvian)	lv
मैथिली (Maithili)	mai
Basa Banyumasan (Basa Banyumasan)	map-bms
мокшень (Moksha)	mdf
